image_id,source,dataset_group,original_label,unified_class,filepath
ISIC_0000012,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000012.jpg
ISIC_0000013,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000013.jpg
ISIC_0000014,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000014.jpg
ISIC_0000015,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000015.jpg
ISIC_0000016,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000016.jpg
ISIC_0000017,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000017.jpg
ISIC_0000017_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000017_downsampled.jpg
ISIC_0000018,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000018.jpg
ISIC_0000018_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000018_downsampled.jpg
ISIC_0000019,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000019.jpg
ISIC_0000019_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000019_downsampled.jpg
ISIC_0000020,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000020.jpg
ISIC_0000020_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000020_downsampled.jpg
ISIC_0000021,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000021.jpg
ISIC_0000021_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000021_downsampled.jpg
ISIC_0000022,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000022.jpg
ISIC_0000022_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000022_downsampled.jpg
ISIC_0000023,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000023.jpg
ISIC_0000023_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000023_downsampled.jpg
ISIC_0000024,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000024.jpg
ISIC_0000024_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000024_downsampled.jpg
ISIC_0000025,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000025.jpg
ISIC_0000025_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000025_downsampled.jpg
ISIC_0000026,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000026.jpg
ISIC_0000026_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000026_downsampled.jpg
ISIC_0000027,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000027.jpg
ISIC_0000027_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000027_downsampled.jpg
ISIC_0000028,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000028.jpg
ISIC_0000028_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000028_downsampled.jpg
ISIC_0000029,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000029.jpg
ISIC_0000029_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000029_downsampled.jpg
ISIC_0000030,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000030.jpg
ISIC_0000030_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000030_downsampled.jpg
ISIC_0000031,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000031.jpg
ISIC_0000031_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000031_downsampled.jpg
ISIC_0000032,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000032.jpg
ISIC_0000032_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000032_downsampled.jpg
ISIC_0000034,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000034.jpg
ISIC_0000034_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000034_downsampled.jpg
ISIC_0000035,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000035.jpg
ISIC_0000035_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000035_downsampled.jpg
ISIC_0000036,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000036.jpg
ISIC_0000036_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000036_downsampled.jpg
ISIC_0000037,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000037.jpg
ISIC_0000037_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000037_downsampled.jpg
ISIC_0000038,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000038.jpg
ISIC_0000038_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000038_downsampled.jpg
ISIC_0000039,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000039.jpg
ISIC_0000039_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000039_downsampled.jpg
ISIC_0000040,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000040.jpg
ISIC_0000040_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000040_downsampled.jpg
ISIC_0000041,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000041.jpg
ISIC_0000041_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000041_downsampled.jpg
ISIC_0000042,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000042.jpg
ISIC_0000042_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000042_downsampled.jpg
ISIC_0000043,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000043.jpg
ISIC_0000043_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000043_downsampled.jpg
ISIC_0000044,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000044.jpg
ISIC_0000044_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000044_downsampled.jpg
ISIC_0000045,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000045.jpg
ISIC_0000045_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000045_downsampled.jpg
ISIC_0000046,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000046.jpg
ISIC_0000046_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000046_downsampled.jpg
ISIC_0000047,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000047.jpg
ISIC_0000047_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000047_downsampled.jpg
ISIC_0000048,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000048.jpg
ISIC_0000048_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000048_downsampled.jpg
ISIC_0000049,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000049.jpg
ISIC_0000049_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000049_downsampled.jpg
ISIC_0000050,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000050.jpg
ISIC_0000050_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000050_downsampled.jpg
ISIC_0000051,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000051.jpg
ISIC_0000051_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000051_downsampled.jpg
ISIC_0000052,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000052.jpg
ISIC_0000052_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000052_downsampled.jpg
ISIC_0000053,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000053.jpg
ISIC_0000053_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000053_downsampled.jpg
ISIC_0000054,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000054.jpg
ISIC_0000054_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000054_downsampled.jpg
ISIC_0000055,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000055.jpg
ISIC_0000055_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000055_downsampled.jpg
ISIC_0000056,isic_2017_train,ISIC 2017,melanoma,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000056.jpg
ISIC_0000056_downsampled,isic_2019_train,ISIC 2019,MEL,MEL,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000056_downsampled.jpg
ISIC_0000057,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000057.jpg
ISIC_0000057_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000057_downsampled.jpg
ISIC_0000058_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000058_downsampled.jpg
ISIC_0000059,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000059.jpg
ISIC_0000059_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000059_downsampled.jpg
ISIC_0000060_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000060_downsampled.jpg
ISIC_0000061,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000061.jpg
ISIC_0000061_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000061_downsampled.jpg
ISIC_0000062,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000062.jpg
ISIC_0000062_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000062_downsampled.jpg
ISIC_0000063,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000063.jpg
ISIC_0000063_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000063_downsampled.jpg
ISIC_0000064,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000064.jpg
ISIC_0000064_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000064_downsampled.jpg
ISIC_0000065,isic_2017_train,ISIC 2017,nevus,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2017\ISIC-2017_Training_Data\ISIC-2017_Training_Data\ISIC_0000065.jpg
ISIC_0000065_downsampled,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000065_downsampled.jpg
ISIC_0000066,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000066.jpg
ISIC_0000067,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000067.jpg
ISIC_0000068,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000068.jpg
ISIC_0000069,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000069.jpg
ISIC_0000071,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000071.jpg
ISIC_0000072,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000072.jpg
ISIC_0000073,isic_2019_train,ISIC 2019,NV,NV,C:\Users\ARII\Downloads\Data Understanding Isic & Ham10k\Dataset\isic 2019\ISIC_2019_Training_Input\ISIC_2019_Training_Input\ISIC_0000073.jpg
